FGI_Classification,Total_Closed_PnL,Average_Closed_PnL,Total_Volume_USD,Average_Trade_Size_USD,Total_Trades
Extreme Fear,438399.139818,32.56567670613579,83828495.85,6227.046192987668,13462
Fear,2792337.390146,64.0326864370299,418068709.43,9586.972790084388,43608
Neutral,1257452.425648,46.82202955198094,150606477.64,5607.926632409889,26856
Greed,1357468.473936,34.764987679872974,243155569.69,6227.253558275924,39047
Extreme Greed,2127549.479352,68.8059726189968,99468927.3,3216.8729116134664,30921
